Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Male,Yes,72,Yes,Other,3.0,High,2.0,Cat_6,C
Male,No,20,No,Other,1.0,Low,3.0,Cat_4,D
Male,Yes,52,Yes,Other,7.0,High,4.0,Cat_4,C
Male,No,47,Yes,Entertainment,2.0,Low,1.0,Other,A
Male,Yes,49,Yes,Artist,1.0,Low,4.0,Cat_3,C
Male,Yes,75,No,Other,1.0,High,2.0,Cat_6,B
Female,Yes,68,Yes,Artist,1.0,Average,2.0,Cat_6,B
Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_4,B
Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,B
Male,No,35,No,Healthcare,8.0,Low,1.0,Cat_4,D
Female,Yes,49,Yes,Artist,0.0,Average,5.0,Cat_6,C
Male,No,39,Yes,Artist,1.0,Low,1.0,Cat_6,B
Female,Yes,39,Yes,Healthcare,8.0,High,2.0,Other,D
Male,No,62,Yes,Artist,0.0,Low,5.0,Cat_6,A
Female,No,32,No,Engineer,1.0,Low,9.0,Cat_4,D
Male,Yes,46,Yes,Artist,1.0,Average,5.0,Other,C
Female,No,37,Yes,Artist,1.0,Low,1.0,Cat_4,C
Female,Yes,48,Yes,Artist,8.0,Average,2.0,Cat_6,A
Male,Yes,35,No,Doctor,0.0,Average,5.0,Cat_4,C
Female,Yes,43,Yes,Artist,5.0,Average,2.0,Cat_4,A
Female,No,33,No,Other,0.0,Low,5.0,Cat_4,D
Female,No,26,Yes,Artist,2.0,Low,2.0,Cat_6,A
Female,Yes,30,Yes,Artist,6.0,Average,4.0,Cat_4,B
Female,No,33,Yes,Artist,3.0,Low,2.0,Cat_4,D
Male,Yes,57,No,Other,4.0,High,4.0,Cat_6,C
Male,No,21,No,Healthcare,0.0,Low,4.0,Cat_6,D
Male,Yes,37,Yes,Entertainment,9.0,Average,2.0,Cat_6,A
Female,Yes,39,No,Artist,0.0,High,3.0,Cat_6,B
Male,Yes,70,Yes,Other,1.0,High,2.0,Cat_6,B
Male,Yes,56,Yes,Artist,8.0,Average,2.0,Cat_6,C
Male,Yes,52,Yes,Healthcare,1.0,Low,2.0,Cat_6,D
Female,Yes,45,Yes,Artist,0.0,Average,2.0,Cat_6,C
Female,Yes,66,No,Other,4.0,High,2.0,Cat_4,D
Male,No,22,No,Healthcare,0.0,Low,5.0,Other,D
Female,Yes,42,No,Other,6.0,High,4.0,Cat_6,B
Female,Yes,70,Yes,Artist,0.0,High,2.0,Cat_6,C
Female,Yes,69,Yes,Other,0.0,High,2.0,Cat_6,C
Female,Yes,46,Yes,Artist,1.0,High,4.0,Cat_6,C
Male,Yes,53,Yes,Other,9.0,Low,1.0,Cat_4,D
Female,Yes,61,No,Other,0.0,High,3.0,Cat_6,D
Female,No,46,Yes,Artist,9.0,Low,1.0,Cat_6,B
Male,Yes,69,Yes,Artist,0.0,Average,5.0,Cat_3,C
Female,No,41,Yes,Doctor,9.0,Low,1.0,Cat_4,A
Male,Yes,58,Yes,Artist,9.0,Average,4.0,Cat_6,C
Female,No,46,Yes,Artist,3.0,Low,2.0,Cat_6,B
Male,Yes,87,Yes,Other,0.0,High,2.0,Cat_6,A
Male,No,25,Yes,Healthcare,0.0,Low,3.0,Cat_6,B
Male,Yes,42,Yes,Artist,1.0,Low,4.0,Cat_4,B
Female,Yes,43,Yes,Engineer,9.0,Average,2.0,Cat_6,C
Female,Yes,46,Yes,Artist,1.0,Average,4.0,Cat_6,B
Female,No,36,Yes,Artist,9.0,Low,2.0,Cat_6,C
Female,No,29,Yes,Healthcare,1.0,Low,4.0,Cat_6,D
Female,Yes,33,No,Engineer,7.0,Average,5.0,Cat_4,B
Female,Yes,29,Yes,Artist,10.0,Low,2.0,Cat_6,B
Female,No,33,No,Doctor,0.0,Low,4.0,Cat_6,D
Female,Yes,89,No,Other,3.0,High,2.0,Cat_6,A
Female,No,37,Yes,Doctor,5.0,Low,1.0,Other,B
Female,No,29,Yes,Artist,12.0,Low,1.0,Cat_6,A
Female,No,19,No,Doctor,0.0,Low,3.0,Cat_4,D
Male,Yes,63,Yes,Artist,1.0,Low,1.0,Cat_6,C
Female,No,25,No,Healthcare,0.0,Low,1.0,Cat_6,D
Male,No,22,No,Healthcare,0.0,Low,3.0,Other,D
Male,Yes,60,No,Other,6.0,Average,2.0,Cat_4,A
Male,No,29,Yes,Artist,4.0,Low,1.0,Cat_3,D
Male,Yes,59,Yes,Doctor,0.0,Average,2.0,Cat_4,C
Female,No,27,Yes,Engineer,1.0,Low,1.0,Cat_6,A
Male,No,28,Yes,Engineer,0.0,Low,3.0,Cat_4,C
Male,Yes,35,No,Entertainment,1.0,Average,4.0,Cat_4,B
Female,No,42,No,Other,11.0,Low,1.0,Cat_6,A
Male,Yes,71,Yes,Artist,1.0,Average,2.0,Cat_6,C
Female,Yes,47,Yes,Doctor,1.0,Average,2.0,Cat_4,A
Male,Yes,37,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
Male,Yes,50,Yes,Entertainment,3.0,Low,2.0,Cat_6,A
Male,Yes,35,Yes,Artist,5.0,Average,2.0,Cat_6,C
Male,Yes,59,Yes,Artist,9.0,Average,4.0,Cat_6,C
Female,No,31,No,Healthcare,1.0,Low,3.0,Cat_6,D
Male,Yes,52,Yes,Artist,1.0,Average,6.0,Cat_6,C
Female,Yes,89,No,Other,0.0,High,2.0,Cat_6,A
Male,Yes,80,Yes,Other,2.0,Low,1.0,Cat_6,D
Female,No,36,No,Engineer,14.0,Low,4.0,Cat_6,D
Male,Yes,32,Yes,Doctor,0.0,Low,3.0,Cat_6,D
Female,Yes,55,Yes,Artist,0.0,Average,4.0,Cat_6,C
Male,Yes,36,No,Doctor,0.0,Average,2.0,Other,A
Male,No,20,No,Healthcare,7.0,Low,3.0,Cat_6,D
Female,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6,B
Male,No,39,Yes,Entertainment,9.0,Low,2.0,Cat_6,A
Male,No,63,No,Entertainment,7.0,Low,1.0,Cat_6,A
Female,No,51,Yes,Artist,0.0,Low,1.0,Cat_6,A
Female,Yes,52,Yes,Artist,1.0,Average,3.0,Cat_6,B
Female,Yes,65,Yes,Artist,3.0,Average,2.0,Cat_6,C
Male,Yes,75,Yes,Other,0.0,High,2.0,Cat_6,B
Female,Yes,87,No,Other,0.0,Low,1.0,Cat_6,C
Male,Yes,70,Yes,Other,0.0,High,2.0,Cat_6,B
Female,No,36,Yes,Artist,1.0,Low,1.0,Cat_6,C
Female,Yes,26,Yes,Healthcare,8.0,Low,2.0,Cat_3,D
Female,No,41,Yes,Artist,2.0,Low,1.0,Cat_6,A
Male,Yes,39,Yes,Entertainment,1.0,Average,2.0,Cat_6,B
Female,No,31,No,Other,8.0,Low,4.0,Cat_6,D
Female,Yes,66,Yes,Other,0.0,High,3.0,Cat_6,C
Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,C
Female,Yes,25,No,Engineer,4.0,Average,5.0,Cat_4,D
Male,No,41,Yes,Artist,0.0,Low,2.0,Cat_3,B
